id,policy,seed,success,steps,coverage,density,unique_visited,targets_found,efficiency,turns,collisions,revisits,max_cell_visits,avg_visits_per_cell,avg_info_gain,turn_rate,collision_rate,max_steps_without_new_info
5493c18b-9cbc-4c0a-b263-781494151755,globalutilityfrontierexploration,30045,True,593,20.47,78.68,517,1,0.872,146,0,0,0,0,0,0,0,0
ae33d5ac-501b-41df-864d-a1e589eaad5b,frontier,30045,True,695,26.68,78.68,638,1,0.918,142,0,0,0,0,0,0,0,0
6adcee36-e7c5-43cd-80e1-1d959f9aa421,globalutilityfrontierexploration,51102,True,245,7.96,78.61,197,1,0.804,54,0,0,0,0,0,0,0,0
78a89436-259c-415e-8511-85f364812a83,frontier,51102,True,268,12.14,78.61,253,1,0.944,66,0,0,0,0,0,0,0,0
9520be08-bc01-4fa9-9176-63f98e1050db,globalutilityfrontierexploration,44197,True,57,3.07,78.32,57,1,1.0,12,0,0,0,0,0,0,0,0
b02b8192-2e3f-4617-b72a-600601fa4a1d,frontier,44197,True,464,18.62,78.32,435,1,0.938,127,0,0,0,0,0,0,0,0
761cc003-1102-4e98-b981-fe07fdf5a238,globalutilityfrontierexploration,12452,True,167,6.81,76.57,152,1,0.91,52,0,0,0,0,0,0,0,0
4305ee20-531b-4faa-8e13-304736a0da2b,frontier,12452,True,629,26.16,76.57,593,1,0.943,127,0,0,0,0,0,0,0,0
7142d1bc-ccb8-43b6-8565-3a9e30c05967,globalutilityfrontierexploration,36572,True,1,0.46,77.98,2,1,2.0,0,0,0,0,0,0,0,0,0
a9b8fb94-5a4c-48c6-9525-1cfd44326218,frontier,36572,True,1,0.46,77.98,2,1,2.0,0,0,0,0,0,0,0,0,0
